Lot,Brand,Description,Year,Color,Leather,Hardware,Estimate (USD),Price Realized (USD)
1,HERMÈS,LIME EVERCOLOR LEATHER MINI ROULIS WITH PALLADIUM HARDWARE,2022,Green,Evercolor,Palladium,"5,100−7,700",6100
2,HERMÈS,LIMITED EDITION LIME & PEARL GRAY EPSOM LEATHER RETOURNÉ CANDY KELLY 32,2011,Yellow,Epsom,Palladium,"7,700−12,800",9700
3,HERMÈS,LIMITED EDITION LIME & PEARL GRAY EPSOM LEATHER CANDY BIRKIN 35,2011,Yellow,Epsom,Palladium,"7,700−12,800",12100
4,HERMÈS,SHINY MIMOSA NILOTICUS LIZARD SMALL CONSTANCE WALLET,2011,Yellow,Lizard,Palladium,"2,600−3,800",2300
5,HERMÈS,NAPLES YELLOW EPSOM LEATHER CONSTANCE TO GO,2023,Yellow,Epsom,Gold,"5,100−7,700",5600
6,HERMÈS,HAY GOATSKIN LEATHER KELLY TO GO,2020,Brown,Goat,Gold,"6,400−10,200",6100
7,HERMÈS,BUD YELLOW GOATSKIN LEATHER MINI BOLIDE 1923,2021,Yellow,Goat,Gold,"5,100−7,700",6100
8,HERMÈS,LIMITED EDITION IVORY SWIFT LEATHER CIRCUIT 24 FAUBOURG MINI ROULIS,2021,White,Swift,Palladium,"5,100−7,700",4500
9,HERMÈS,SUN CLEMENCE LEATHER MINI ÉVELYNE 16 AMAZONE,2024,Yellow,Clemence,Palladium,"1,300−2,300",2400
10,HERMÈS,SUN SWIFT LEATHER KELLY MOOVE,2024,Yellow,Swift,Palladium,"6,400−10,200",9700
12,HERMÈS,BLUE JEAN TOGO LEATHER BIRKIN 30,2005,Blue,Togo,Palladium,"7,700−12,800",12100
13,HERMÈS,SHINY BLUE JEAN POROSUS CROCODILE SELLIER KELLY 25,2002,Blue,Crocodile,Gold,"25,600−35,900",32300
14,HERMÈS,"LIMITED EDITION INK BLUE, BLUE ZELLIGE, CYPRESS GREEN & MIDNIGHT BLUE CONSTANCE",2020,Blue,Alligator & Lizard,Enamel,"23,100−33,300",25800
15,HERMÈS,"LIMITED EDITION INK BLUE, BLUE ZELLIGE, CYPRESS GREEN & MIDNIGHT BLUE BOLIDE",2018,Blue,Alligator & Lizard,Palladium,"7,700−12,800",11300
16,HERMÈS,MIDNIGHT BLUE EVERCOLOR LEATHER MINI BOLIDE 1923,2023,Blue,Evercolor,Gold,"5,100−7,700",7700
17,HERMÈS,"LIMITED EDITION CABAN, MIDNIGHT BLUE SWIFT LEATHER & FELT BIRKIN 25",2024,Black,Swift & Lambskin,Palladium,"20,500−30,800",35500
18,HERMÈS,MIDNIGHT BLUE TOGO LEATHER RETOURNÉ KELLY 28,2019,Blue,Togo,Gold,"7,700−12,800",21000
19,HERMÈS,MIDNIGHT BLUE TOGO LEATHER BIRKIN 35,2015,Blue,Togo,Gold,"7,700−12,800",12100
20,HERMÈS,BLUE SAPPHIRE EPSOM LEATHER MINI CONSTANCE,2017,Blue,Epsom,Gold,"7,700−12,800",11300
21,HERMÈS,BLUE SAPPHIRE SWIFT LEATHER BOLIDE 27,2016,Blue,Swift,Palladium,"3,800−5,100",3500
22,HERMÈS,BLUE IRIS OSTRICH CONSTANCE 24,2018,Blue,Ostrich,Gold,"7,700−12,800",12900
23,HERMÈS,BLUE IRIS OSTRICH BIRKIN 30,2015,Blue,Ostrich,Palladium,"12,800−20,500",17700
24,HERMÈS,LIMITED EDITION PRUSSIAN BLUE SWIFT LEATHER & TOILE H GHILLIES BIRKIN 40,2013,Blue,Swift & Toile,Palladium,"7,700−12,800",11300
25,HERMÈS,LIMITED EDITION ELECTRIC BLUE TOGO LEATHER RETOURNÉ AU GALOP KELLY 32,2017,Blue,Togo,Palladium,"9,000−14,100",16100
26,HERMÈS,BLUE THALASSA CLEMENCE LEATHER RELAX BOLIDE 45,2004,Blue,Clemence,Palladium,"2,600−3,600",4800
27,HERMÈS,"LIMITED EDITION SEA, SURF & FUN CANVAS & INDIGO BLUE NEGONDA LEATHER GP",2018,Blue,Negonda & Canvas,Palladium,"3,100−4,400",4500
28,HERMÈS,LIMITED EDITION PEARL GRAY & ELECTRIC BLUE TOGO LEATHER ENDLESS ROAD,2019,Blue,Togo,Palladium,"3,800−5,100",3900
30,HERMÈS,LIMITED EDITION GALICIA BLUE EVERCOLOR LEATHER & SKY CALF GRIZZLY BIRKIN,2014,Blue,Evercolor & Grizzly,Permabrass,"7,700−12,800",13700
31,HERMÈS,LIMITED EDITION GALICIA BLUE GRAINE D'H & SWIFT LEATHER GHILLIES KELLY,2014,Blue,Swift & Graine d'H,Palladium,"9,000−14,100",8900
32,HERMÈS,BLUE IZMIR TOGO LEATHER RETOURNÉ KELLY 32,2014,Blue,Togo,Gold,"5,100−7,700",8900
33,HERMÈS,"RARE, MATTE NAVY BLUE ALLIGATOR, DEEP BLUE MADAME, ORANGE H BIRKIN 20",2019,Blue,Alligator & Epsom,Palladium,"102,600−205,100",177600
34,HERMÈS,BLUE HYDRA CLEMENCE RETOURNÉ KELLY 32,2012,Blue,Clemence,Gold,"6,400−10,200",11300
35,HERMÈS,"LIMITED EDITION ROYAL BLUE EVERCOLOR LEATHER, COPPER & TEA MINI 24/24",2022,Blue,Evercolor & Swift,Gold,"5,100−7,700",8900
36,HERMÈS,SHINY PETROL BLUE NILOTICUS LIZARD MINI CONSTANCE,2022,Blue,Lizard,Palladium,"15,400−23,100",21000
37,HERMÈS,BLUE ZANZIBAR EVERCOLOR LEATHER CONSTANCE 24,2017,Blue,Evercolor,Gold,"6,400−10,200",7700
38,HERMÈS,CELESTE EPSOM LEATHER MINI CONSTANCE MIRROR,2023,Blue,Epsom,Gold,"7,700−12,800",11300
39,HERMÈS,BLUE ATOLL EPSOM LEATHER SELLIER KELLY 25,2017,Blue,Epsom,Gold,"9,000−14,100",24200
40,HERMÈS,PALE BLUE CLEMENCE LEATHER PICOTIN LOCK 18,2023,Blue,Clemence,Palladium,"3,300−4,600",5200
41,HERMÈS,PALE MAUVE EVERCOLOR LEATHER MINI BOLIDE 1923,2023,Purple,Evercolor,Palladium,"5,100−7,700",8100
42,HERMÈS,LIMITED EDITION PALE MAUVE & IVORY EVERCOLOR VERSO MINI JYPSIÈRE,2023,Pink,Evercolor (Verso),Palladium,"5,100−7,700",8900
43,HERMÈS,SYLVESTER MAUVE EPSOM LEATHER MINI CONSTANCE,2021,Purple,Epsom,Rose Gold,"7,700−12,800",19400
