Lot,Description,Brand,Type,Year,Color,Leather,Hardware,Estimate (USD),Lower Estimate (USD),Higher Estimate (USD),Price Realized (USD),Price Category,Variance from Higher Estimate
1,LIME EVERCOLOR LEATHER MINI ROULIS WITH PALLADIUM HARDWARE,HERMES,Mini Roulis,2022,Green,Evercolor,Palladium,5100−7700,5100,7700,6100,Within Estimate,-1600
2,LIMITED EDITION LIME & PEARL GRAY EPSOM LEATHER RETOURNÉ CANDY KELLY 32,HERMES,"Kelly 32, Limited Edition",2011,Yellow,Epsom,Palladium,7700−12800,7700,12800,9700,Within Estimate,-3100
3,LIMITED EDITION LIME & PEARL GRAY EPSOM LEATHER CANDY BIRKIN 35,HERMES,"Birkin 35, Limited Edition",2011,Yellow,Epsom,Palladium,7700−12800,7700,12800,12100,Within Estimate,-700
4,SHINY MIMOSA NILOTICUS LIZARD SMALL CONSTANCE WALLET,HERMES,Constance Wallet,2011,Yellow,Lizard,Palladium,2600−3800,2600,3800,2300,Below Estimate,-1500
5,NAPLES YELLOW EPSOM LEATHER CONSTANCE TO GO,HERMES,Constance To Go,2023,Yellow,Epsom,Gold,5100−7700,5100,7700,5600,Within Estimate,-2100
6,HAY GOATSKIN LEATHER KELLY TO GO,HERMES,Kelly To Go,2020,Brown,Goat,Gold,6400−10200,6400,10200,6100,Below Estimate,-4100
7,BUD YELLOW GOATSKIN LEATHER MINI BOLIDE 1923,HERMES,Mini Bolide 1923,2021,Yellow,Goat,Gold,5100−7700,5100,7700,6100,Within Estimate,-1600
8,LIMITED EDITION IVORY SWIFT LEATHER CIRCUIT 24 FAUBOURG MINI ROULIS,HERMES,"Mini Roulis, Limited Edition",2021,White,Swift,Palladium,5100−7700,5100,7700,4500,Below Estimate,-3200
9,SUN CLEMENCE LEATHER MINI ÉVELYNE 16 AMAZONE,HERMES,Mini Évelyne 16,2024,Yellow,Clemence,Palladium,1300−2300,1300,2300,2400,Above Estimate,100
10,SUN SWIFT LEATHER KELLY MOOVE,HERMES,Kelly Moove,2024,Yellow,Swift,Palladium,6400−10200,6400,10200,9700,Within Estimate,-500
12,BLUE JEAN TOGO LEATHER BIRKIN 30,HERMES,Birkin 30,2005,Blue,Togo,Palladium,7700−12800,7700,12800,12100,Within Estimate,-700
13,SHINY BLUE JEAN POROSUS CROCODILE SELLIER KELLY 25,HERMES,Kelly 25,2002,Blue,Crocodile,Gold,25600−35900,25600,35900,32300,Within Estimate,-3600
14,"LIMITED EDITION INK BLUE, BLUE ZELLIGE, CYPRESS GREEN & MIDNIGHT BLUE CONSTANCE",HERMES,"Constance, Limited Edition",2020,Blue,Alligator & Lizard,Enamel,23100−33300,23100,33300,25800,Within Estimate,-7500
15,"LIMITED EDITION INK BLUE, BLUE ZELLIGE, CYPRESS GREEN & MIDNIGHT BLUE BOLIDE",HERMES,"Bolide, Limited Edition",2018,Blue,Alligator & Lizard,Palladium,7700−12800,7700,12800,11300,Within Estimate,-1500
16,MIDNIGHT BLUE EVERCOLOR LEATHER MINI BOLIDE 1923,HERMES,Mini Bolide 1923,2023,Blue,Evercolor,Gold,5100−7700,5100,7700,7700,Within Estimate,0
17,"LIMITED EDITION CABAN, MIDNIGHT BLUE SWIFT LEATHER & FELT BIRKIN 25",HERMES,"Birkin 25, Limited Edition",2024,Black,Swift & Lambskin,Palladium,20500−30800,20500,30800,35500,Above Estimate,4700
18,MIDNIGHT BLUE TOGO LEATHER RETOURNÉ KELLY 28,HERMES,Kelly 28,2019,Blue,Togo,Gold,7700−12800,7700,12800,21000,Above Estimate,8200
19,MIDNIGHT BLUE TOGO LEATHER BIRKIN 35,HERMES,Birkin 35,2015,Blue,Togo,Gold,7700−12800,7700,12800,12100,Within Estimate,-700
20,BLUE SAPPHIRE EPSOM LEATHER MINI CONSTANCE,HERMES,Mini Constance,2017,Blue,Epsom,Gold,7700−12800,7700,12800,11300,Within Estimate,-1500
21,BLUE SAPPHIRE SWIFT LEATHER BOLIDE 27,HERMES,Bolide 27,2016,Blue,Swift,Palladium,3800−5100,3800,5100,3500,Below Estimate,-1600
22,BLUE IRIS OSTRICH CONSTANCE 24,HERMES,Constance 24,2018,Blue,Ostrich,Gold,7700−12800,7700,12800,12900,Above Estimate,100
23,BLUE IRIS OSTRICH BIRKIN 30,HERMES,Birkin 30,2015,Blue,Ostrich,Palladium,12800−20500,12800,20500,17700,Within Estimate,-2800
